ExpID,PublicationID,PublicationName,IonExpNum,Cells,CellClass,CellOrigin,CellCycle,DNAcontent,PhotonRadiation,PhotonExpNum,Ion,Charge,IrradiationConditions,LET,Energy,ax_paper,bx_paper,ai_paper,bi_paper,ax_fit,bx_fit,ai_fit,bi_fit
102,9,bettega98,2,C3H10T1/2,n,r,a,5.6,60Co,1,1H,1,m,19.7,1.46,0.24,0.016,0.43,0.038,0.331978338578077,0.0,0.403692406692694,0.0419780752361508
103,9,bettega98,3,C3H10T1/2,n,r,a,5.6,60Co,1,1H,1,m,28.8,0.87,0.24,0.016,0.55,0.053,0.331978338578077,0.0,0.463890416975599,0.073275082592632
104,9,bettega98,4,C3H10T1/2,n,r,a,5.6,60Co,1,1H,1,m,31.6,0.77,0.24,0.016,0.67,0.0,0.331978338578077,0.0,0.636209895105785,0.0
105,9,bettega98,5,C3H10T1/2,n,r,a,5.6,60Co,1,1H,1,m,32.5,0.74,0.24,0.016,0.75,0.0,0.331978338578077,0.0,0.850672794263648,-0.0316240043242528
106,9,bettega98,6,C3H10T1/2,n,r,a,5.6,60Co,1,1H,1,m,33.2,0.72,0.24,0.016,1.02,0.0,0.331978338578077,0.0,1.20111299502553,-0.0673313113459968
107,9,bettega98,7,C3H10T1/2,n,r,a,5.6,60Co,1,2H,1,m,13.3,2.45,0.24,0.016,0.4,0.041,0.331978338578077,0.0,0.383801922779478,0.0457270932962299
108,9,bettega98,8,C3H10T1/2,n,r,a,5.6,60Co,1,2H,1,m,18.3,1.6,0.24,0.016,0.55,0.023,0.331978338578077,0.0,0.497437521562997,0.0271341613973126
109,10,tsuboi98,1,NB1RGB,n,h,a,6.0,137Cs,1,12C,6,m,20.0,144.0,0.336,0.0796,0.688,0.0305,0.332476071871712,0.0670424863251929,0.779224677928817,0.0102851037249161
110,10,tsuboi98,2,NB1RGB,n,h,a,6.0,137Cs,1,12C,6,m,40.0,57.3,0.336,0.0796,0.795,0.0148,0.332476071871712,0.0670424863251929,0.894646678172792,-0.0163854963937609
111,10,tsuboi98,3,NB1RGB,n,h,a,6.0,137Cs,1,12C,6,m,81.0,23.8,0.336,0.0796,1.331,0.0146,0.332476071871712,0.0670424863251929,1.31627405945702,0.0
112,10,tsuboi98,4,NB1RGB,n,h,a,6.0,137Cs,1,12C,6,m,105.0,17.4,0.336,0.0796,1.425,0.0219,0.332476071871712,0.0670424863251929,1.59143096669506,-0.0664332374911417
113,10,tsuboi98,5,ONS-76,t,h,a,6.0,137Cs,2,12C,6,m,20.0,144.0,0.188,0.062,0.793,0.0281,0.226880415357929,0.0526873564031368,0.873633914986007,0.0185298899975372
114,10,tsuboi98,6,ONS-76,t,h,a,6.0,137Cs,2,12C,6,m,40.0,57.3,0.188,0.062,0.921,0.014,0.226880415357929,0.0526873564031368,0.821188614860753,0.0531823537880533
115,10,tsuboi98,7,ONS-76,t,h,a,6.0,137Cs,2,12C,6,m,81.0,23.8,0.188,0.062,1.29,0.0153,0.226880415357929,0.0526873564031368,1.32215923243838,0.0
116,10,tsuboi98,8,ONS-76,t,h,a,6.0,137Cs,2,12C,6,m,105.0,17.4,0.188,0.062,1.327,0.0113,0.226880415357929,0.0526873564031368,1.44963411016498,-0.0727620685488434
117,10,tsuboi98,9,A-172,t,h,a,6.0,137Cs,3,12C,6,m,20.0,144.0,0.405,0.0588,0.896,0.0453,0.310051785503631,0.088831531790086,1.09737168147351,0.0
118,10,tsuboi98,10,A-172,t,h,a,6.0,137Cs,3,12C,6,m,40.0,57.3,0.405,0.0588,1.052,0.023,0.310051785503631,0.088831531790086,0.865632736636625,0.0861660800003953
119,10,tsuboi98,11,A-172,t,h,a,6.0,137Cs,3,12C,6,m,81.0,23.8,0.405,0.0588,1.509,0.0138,0.310051785503631,0.088831531790086,1.59351820070982,0.0
120,10,tsuboi98,12,A-172,t,h,a,6.0,137Cs,3,12C,6,m,105.0,17.4,0.405,0.0588,1.923,0.0142,0.310051785503631,0.088831531790086,1.98082561639136,0.0
121,10,tsuboi98,13,U-251MG,t,h,a,6.0,137Cs,4,12C,6,m,20.0,144.0,0.031,0.0551,0.477,0.0365,0.0,0.0608772784123654,0.461809641311153,0.0395439383180371
122,10,tsuboi98,14,U-251MG,t,h,a,6.0,137Cs,4,12C,6,m,40.0,57.3,0.031,0.0551,0.687,0.0261,0.0,0.0608772784123654,0.664574383132287,0.0319839118055834
123,10,tsuboi98,15,U-251MG,t,h,a,6.0,137Cs,4,12C,6,m,81.0,23.8,0.031,0.0551,1.127,0.0128,0.0,0.0608772784123654,1.14343804809443,0.0
124,10,tsuboi98,16,U-251MG,t,h,a,6.0,137Cs,4,12C,6,m,105.0,17.4,0.031,0.0551,1.091,0.0215,0.0,0.0608772784123654,1.1754150956398,0.0
125,10,tsuboi98,17,TK1,t,h,a,6.0,137Cs,5,12C,6,m,20.0,144.0,0.007,0.0546,0.43,0.0455,0.0731488076830619,0.0430903127992053,0.4840653077626,0.0286422860160508
126,10,tsuboi98,18,TK1,t,h,a,6.0,137Cs,5,12C,6,m,40.0,57.3,0.007,0.0546,0.555,0.04,0.0731488076830619,0.0430903127992053,0.701518136587129,0.0
127,10,tsuboi98,19,TK1,t,h,a,6.0,137Cs,5,12C,6,m,81.0,23.8,0.007,0.0546,1.033,0.0167,0.0731488076830619,0.0430903127992053,1.08961594071155,0.0
128,10,tsuboi98,20,TK1,t,h,a,6.0,137Cs,5,12C,6,m,105.0,17.4,0.007,0.0546,1.086,0.0221,0.0731488076830619,0.0430903127992053,1.13231959457001,0.0
129,11,tsuchida98,1,A-172,t,h,a,6.0,137Cs,1,12C,6,m,20.0,144.0,,,,,0.276629431681593,0.0926865628256953,1.08069322870219,0.0
130,11,tsuchida98,2,A-172,t,h,a,6.0,137Cs,1,12C,6,m,40.0,57.3,,,,,0.276629431681593,0.0926865628256953,0.865683181702649,0.0811757093635723
131,11,tsuchida98,3,A-172,t,h,a,6.0,137Cs,1,12C,6,m,80.0,24.1,,,,,0.276629431681593,0.0926865628256953,0.532931644139823,0.34767736044803
132,11,tsuchida98,4,TK1,t,h,a,6.0,137Cs,2,12C,6,m,20.0,144.0,,,,,0.127966832822353,0.0353160286557889,0.458449444652703,0.0425510695111617
133,11,tsuchida98,5,TK1,t,h,a,6.0,137Cs,2,12C,6,m,40.0,57.3,,,,,0.127966832822353,0.0353160286557889,0.582956642483172,0.0509364027667801
134,11,tsuchida98,6,TK1,t,h,a,6.0,137Cs,2,12C,6,m,80.0,24.1,,,,,0.127966832822353,0.0353160286557889,0.205954336693081,0.486379570025364
135,12,weyrather99,1,V79,n,r,a,5.6,250kVp,1,12C,6,m,13.7,266.4,0.093,0.026,0.234,0.03,0.103948449151237,0.0250624625174058,0.252927727464568,0.0269996112330583
136,12,weyrather99,2,V79,n,r,a,5.6,250kVp,1,12C,6,m,16.8,190.7,0.093,0.026,0.226,0.03,0.103948449151237,0.0250624625174058,0.228966155802467,0.0277647153348266
137,12,weyrather99,3,V79,n,r,a,5.6,250kVp,1,12C,6,m,32.4,76.9,0.093,0.026,0.337,0.025,0.103948449151237,0.0250624625174058,0.357961971510802,0.0217112035483895
138,12,weyrather99,4,V79,n,r,a,5.6,250kVp,1,12C,6,m,153.5,11.0,0.093,0.026,0.91,0.044,0.103948449151237,0.0250624625174058,1.03714244522944,0.0
139,12,weyrather99,5,V79,n,r,a,5.6,250kVp,1,12C,6,m,275.1,5.4,0.093,0.026,0.99,-0.022,0.103948449151237,0.0250624625174058,0.886574619191655,0.0
140,12,weyrather99,6,V79,n,r,a,5.6,250kVp,1,12C,6,m,339.1,4.2,0.093,0.026,0.639,0.039,0.103948449151237,0.0250624625174058,0.491706376646937,0.0705707171087265
141,12,weyrather99,7,V79,n,r,a,5.6,250kVp,1,12C,6,m,482.7,2.4,0.093,0.026,0.533,0.014,0.103948449151237,0.0250624625174058,0.516338370325605,0.014626353052189
142,12,weyrather99,8,CHO-K1,n,r,a,5.6,250kVp,2,12C,6,m,13.7,266.4,0.228,0.02,0.414,0.03,0.210402459633302,0.0237607177262311,0.441442134436858,0.0269181671082059
143,12,weyrather99,9,CHO-K1,n,r,a,5.6,250kVp,2,12C,6,m,16.8,190.7,0.228,0.02,0.373,0.041,0.210402459633302,0.0237607177262311,0.327712952821543,0.0531228994843084
144,12,weyrather99,10,CHO-K1,n,r,a,5.6,250kVp,2,12C,6,m,32.4,76.9,0.228,0.02,0.645,0.005,0.210402459633302,0.0237607177262311,0.683540779434321,0.0
145,12,weyrather99,11,CHO-K1,n,r,a,5.6,250kVp,2,12C,6,m,103.0,18.0,0.228,0.02,0.989,0.192,0.210402459633302,0.0237607177262311,0.995892363817118,0.177602033280358
146,12,weyrather99,12,CHO-K1,n,r,a,5.6,250kVp,2,12C,6,m,153.5,11.0,0.228,0.02,1.53,-0.04,0.210402459633302,0.0237607177262311,1.3660763658933,0.0
147,12,weyrather99,13,CHO-K1,n,r,a,5.6,250kVp,2,12C,6,m,275.1,5.4,0.228,0.02,1.129,0.015,0.210402459633302,0.0237607177262311,1.17277166506864,0.0
148,12,weyrather99,14,CHO-K1,n,r,a,5.6,250kVp,2,12C,6,m,339.1,4.2,0.228,0.02,0.842,0.042,0.210402459633302,0.0237607177262311,1.0104236914743,0.0
149,12,weyrather99,15,CHO-K1,n,r,a,5.6,250kVp,2,12C,6,m,482.7,2.4,0.228,0.02,0.697,0.021,0.210402459633302,0.0237607177262311,0.811723345628616,0.0
